station,line_names,division,borough,subregion
1 AV,L,BMT,Manhattan,14 to 42
1 AVE,L,BMT,Manhattan,14 to 42
103 ST,1,IRT,Manhattan,60 to 110
103 ST,6,IRT,Manhattan,60 to 110
103 ST,BC,IND,Manhattan,60 to 110
103 ST-CORONA,7,IRT,Queens,
104 ST,A,IND,Queens,
104 ST,JZ,BMT,Queens,
110 ST,6,IRT,Manhattan,110 and above
110 ST-CATHEDRL,1,IRT,Manhattan,110 and above
110 ST-CPN,23,IRT,Manhattan,110 and above
111 ST,7,IRT,Queens,
111 ST,A,IND,Queens,
111 ST,J,BMT,Queens,
116 ST,23,IRT,Manhattan,110 and above
116 ST,6,IRT,Manhattan,110 and above
116 ST,BC,IND,Manhattan,110 and above
116 ST-COLUMBIA,1,IRT,Manhattan,110 and above
121 ST,JZ,BMT,Queens,
125 ST,1,IRT,Manhattan,110 and above
125 ST,23,IRT,Manhattan,110 and above
125 ST,456,IRT,Manhattan,110 and above
125 ST,ACBD,IND,Manhattan,110 and above
135 ST,23,IRT,Manhattan,110 and above
135 ST,BC,IND,Manhattan,110 and above
137 ST CITY COL,1,IRT,Manhattan,110 and above
137 ST-CITY COL,1,IRT,Manhattan,110 and above
138 ST-3 AVE,6,IRT,Bronx,
138 ST-GR CONC,45,IRT,Bronx,
138/GRAND CONC,45,IRT,Bronx,
14 ST,123FLM,IRT,Manhattan,14 to 42
14 ST,ACEL,IND,Manhattan,14 to 42
14 ST,FLM123,IND,Manhattan,14 to 42
14 ST-6 AVE,FLM123,IND,Manhattan,14 to 42
14 ST-UNION SQ,456LNQR,IRT,Manhattan,14 to 42
14 ST-UNION SQ,456LNQRW,IRT,Manhattan,14 to 42
14 ST-UNION SQ,LNQR456,BMT,Manhattan,14 to 42
14 ST-UNION SQ,LNQR456W,BMT,Manhattan,14 to 42
145 ST,1,IRT,Manhattan,110 and above
145 ST,3,IRT,Manhattan,110 and above
145 ST,ABCD,IND,Manhattan,110 and above
148 ST-LENOX,3,IRT,Manhattan,110 and above
149 ST-3 AVE,25,IRT,Bronx,
149 ST-GR CONC,245,IRT,Bronx,
149/GRAND CONC,245,IRT,Bronx,
14TH STREET,1,PTH,Manhattan,14 to 42
15 ST-PROSPECT,FG,IND,Brooklyn,
155 ST,BD,IND,Manhattan,110 and above
155 ST,C,IND,Manhattan,110 and above
157 ST,1,IRT,Manhattan,110 and above
161 ST-YANKEE,4BD,IRT,Bronx,
161 ST-YANKEE,BD4,IND,Bronx,
161/YANKEE STAD,4BD,IRT,Bronx,
161/YANKEE STAD,BD4,IND,Bronx,
163 ST-AMSTERDM,C,IND,Manhattan,110 and above
167 ST,4,IRT,Bronx,
167 ST,BD,IND,Bronx,
168 ST,1AC,IRT,Manhattan,110 and above
168 ST,AC1,IND,Manhattan,110 and above
168 ST-BROADWAY,1AC,IRT,Manhattan,110 and above
168 ST-BROADWAY,AC1,IND,Manhattan,110 and above
169 ST,F,IND,Queens,
170 ST,4,IRT,Bronx,
170 ST,BD,IND,Bronx,
174 ST,25,IRT,Bronx,
174-175 ST,BD,IND,Bronx,
174-175 STS,BD,IND,Bronx,
175 ST,A,IND,Manhattan,110 and above
176 ST,4,IRT,Bronx,
18 AV,D,BMT,Brooklyn,
18 AV,F,IND,Brooklyn,
18 AV,N,BMT,Brooklyn,
18 AVE,D,BMT,Brooklyn,
18 AVE,F,IND,Brooklyn,
18 AVE,N,BMT,Brooklyn,
18 ST,1,IRT,Manhattan,14 to 42
181 ST,1,IRT,Manhattan,110 and above
181 ST,A,IND,Manhattan,110 and above
182-183 ST,BD,IND,Bronx,
182-183 STS,BD,IND,Bronx,
183 ST,4,IRT,Bronx,
190 ST,A,IND,Manhattan,110 and above
191 ST,1,IRT,Manhattan,110 and above
2 AV,F,IND,Manhattan,Canal to 14
2 AVE,F,IND,Manhattan,Canal to 14
20 AV,D,BMT,Brooklyn,
20 AV,N,BMT,Brooklyn,
20 AVE,D,BMT,Brooklyn,
20 AVE,N,BMT,Brooklyn,
207 ST,1,IRT,Manhattan,110 and above
21 ST,F,IND,Queens,
21 ST,G,IND,Queens,
21 ST-QNSBRIDGE,F,IND,Queens,
215 ST,1,IRT,Manhattan,110 and above
219 ST,25,IRT,Bronx,
22 AVE-BAY PKY,F,IND,Brooklyn,
225 ST,25,IRT,Bronx,
23 ST,1,IRT,Manhattan,14 to 42
23 ST,6,IRT,Manhattan,14 to 42
23 ST,CE,IND,Manhattan,14 to 42
23 ST,FM,IND,Manhattan,14 to 42
23 ST,NR,BMT,Manhattan,14 to 42
23 ST,NRW,BMT,Manhattan,14 to 42
23 ST-5 AVE,NR,BMT,Manhattan,14 to 42
23 ST-6 AVE,FM,IND,Manhattan,14 to 42
231 ST,1,IRT,Bronx,
233 ST,25,IRT,Bronx,
238 ST,1,IRT,Bronx,
242 ST,1,IRT,Bronx,
25 AV,D,BMT,Brooklyn,
25 AVE,D,BMT,Brooklyn,
25 ST,R,BMT,Brooklyn,
28 ST,1,IRT,Manhattan,14 to 42
28 ST,6,IRT,Manhattan,14 to 42
28 ST,NR,BMT,Manhattan,14 to 42
28 ST,NRW,BMT,Manhattan,14 to 42
28 ST-BROADWAY,NR,BMT,Manhattan,14 to 42
3 AV,L,BMT,Manhattan,14 to 42
3 AV 138 ST,6,IRT,Bronx,
3 AV-149 ST,25,IRT,Bronx,
3 AVE,L,BMT,Manhattan,14 to 42
30 AV,NQ,BMT,Queens,
30 AV,NQW,BMT,Queens,
33 ST,6,IRT,Manhattan,14 to 42
33 ST-RAWSON ST,7,IRT,Queens,
33 ST/RAWSON ST,7,IRT,Queens,
34 ST-HERALD SQ,BDFMNQR,BMT,Manhattan,14 to 42
34 ST-HERALD SQ,BDFMNQR,IND,Manhattan,14 to 42
34 ST-HERALD SQ,BDFMNQRW,BMT,Manhattan,14 to 42
34 ST-HERALD SQ,BDFMNQRW,IND,Manhattan,14 to 42
34 ST-HUDSON YD,7,IRT,Manhattan,14 to 42
34 ST-PENN STA,123,IRT,Manhattan,14 to 42
34 ST-PENN STA,123ACE,IRT,Manhattan,14 to 42
